Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Classic Crewneck Sweatshirt,classic-crewneck-sweatshirt,"Designed for everyday comfort, this classic sweatshirt is your go-to for cozy, polished style. Crafted from a soft cotton-elastane blend that offers gentle stretch and all-day ease, the relaxed pullover silhouette layers effortlessly under jackets or wears solo with denim. A timeless wardrobe staple to keep on rotation through every casual day.",Solomon & Sage,Apparel & Accessories > Clothing,Tops,,TRUE,active,CCN-BP-XS,,Size,XS,,Color,Baby Pink,,,,,51.00,88.00,,TRUE,,,,,,shopify,0,DENY,,g,TRUE,manual,https://d3o8u8o2i2q94t.cloudfront.net/products/1776588086932-sweatshirt-classic-crewneck-sweatshirts-baby-pink-13.webp,1,Classic Crewneck Sweatshirt,https://d3o8u8o2i2q94t.cloudfront.net/products/1776588086932-sweatshirt-classic-crewneck-sweatshirts-baby-pink-13.webp,FALSE,Classic Crewneck Sweatshirt | Solomon & Sage,"Designed for everyday comfort, this classic sweatshirt is your go-to for cozy, polished style. Crafted from a soft cotton-elastane blend that offers gentle stre",Baby Pink; Black,Apparel & Accessories > Clothing,,,,,,new,,,,,,
,classic-crewneck-sweatshirt,,,,,,,,CCN-BK-XS,,,XS,,,Black,,,,,51.00,88.00,,TRUE,,,,,,shopify,0,DENY,,g,TRUE,manual,,,,https://d3o8u8o2i2q94t.cloudfront.net/products/1776588216046-sweatshirt-classic-crewneck-sweatshirts-black-2.webp,FALSE,,,,,,,,,,,,,,,,
,classic-crewneck-sweatshirt,,,,,,,,SCCS-BABY-S,810221392316,,S,,,Baby Pink,,,,,51.00,88.00,,TRUE,,,,,,shopify,0,DENY,,g,TRUE,manual,,,,https://d3o8u8o2i2q94t.cloudfront.net/products/1776588086932-sweatshirt-classic-crewneck-sweatshirts-baby-pink-13.webp,FALSE,,,,,,,,,,,,,,,,
,classic-crewneck-sweatshirt,,,,,,,,SCCS-BLAC-S,810221392415,,S,,,Black,,,,,51.00,88.00,,TRUE,,,,,,shopify,0,DENY,,g,TRUE,manual,,,,https://d3o8u8o2i2q94t.cloudfront.net/products/1776588216046-sweatshirt-classic-crewneck-sweatshirts-black-2.webp,FALSE,,,,,,,,,,,,,,,,
,classic-crewneck-sweatshirt,,,,,,,,SCCS-BABY-M,810221392323,,M,,,Baby Pink,,,,,51.00,88.00,,TRUE,,,,,,shopify,0,DENY,,g,TRUE,manual,,,,https://d3o8u8o2i2q94t.cloudfront.net/products/1776588086932-sweatshirt-classic-crewneck-sweatshirts-baby-pink-13.webp,FALSE,,,,,,,,,,,,,,,,
,classic-crewneck-sweatshirt,,,,,,,,SCCS-BLAC-M,810221392422,,M,,,Black,,,,,51.00,88.00,,TRUE,,,,,,shopify,2,DENY,,g,TRUE,manual,,,,https://d3o8u8o2i2q94t.cloudfront.net/products/1776588216046-sweatshirt-classic-crewneck-sweatshirts-black-2.webp,FALSE,,,,,,,,,,,,,,,,
,classic-crewneck-sweatshirt,,,,,,,,SCCS-BABY-L,810221392330,,L,,,Baby Pink,,,,,51.00,88.00,,TRUE,,,,,,shopify,1,DENY,,g,TRUE,manual,,,,https://d3o8u8o2i2q94t.cloudfront.net/products/1776588086932-sweatshirt-classic-crewneck-sweatshirts-baby-pink-13.webp,FALSE,,,,,,,,,,,,,,,,
,classic-crewneck-sweatshirt,,,,,,,,SCCS-BLAC-L,810221392439,,L,,,Black,,,,,51.00,88.00,,TRUE,,,,,,shopify,3,DENY,,g,TRUE,manual,,,,https://d3o8u8o2i2q94t.cloudfront.net/products/1776588216046-sweatshirt-classic-crewneck-sweatshirts-black-2.webp,FALSE,,,,,,,,,,,,,,,,
,classic-crewneck-sweatshirt,,,,,,,,SCCS-BABY-XL,810221392347,,XL,,,Baby Pink,,,,,51.00,88.00,,TRUE,,,,,,shopify,0,DENY,,g,TRUE,manual,,,,https://d3o8u8o2i2q94t.cloudfront.net/products/1776588086932-sweatshirt-classic-crewneck-sweatshirts-baby-pink-13.webp,FALSE,,,,,,,,,,,,,,,,
,classic-crewneck-sweatshirt,,,,,,,,SCCS-BLAC-XL,810221392446,,XL,,,Black,,,,,51.00,88.00,,TRUE,,,,,,shopify,2,DENY,,g,TRUE,manual,,,,https://d3o8u8o2i2q94t.cloudfront.net/products/1776588216046-sweatshirt-classic-crewneck-sweatshirts-black-2.webp,FALSE,,,,,,,,,,,,,,,,
,classic-crewneck-sweatshirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://d3o8u8o2i2q94t.cloudfront.net/products/1776588078986-sweatshirt-classic-crewneck-sweatshirts-baby-pink-9.webp,2,Classic Crewneck Sweatshirt - view 2,,,,,,,,,,,,,,,,,,
